Epoch,Timestamp,Total_EP,Total_Reward,Pokemon_Caught,Efficiency_Score
1,14:13:49,0,3,0.03704914114319851,EXPLORE
1,14:13:50,0,5,0.059465590817295445,EXPLORE
1,14:13:50,0,7,0.08027214983573536,EXPLORE
1,14:13:50,123,107,1.0,BATTLE
2,14:13:51,262,207,1.0,BATTLE
3,14:13:52,262,209,1.0,EXPLORE
3,14:13:53,262,214,1.0,EXPLORE
3,14:13:53,262,209,1.0,EXPLORE
3,14:13:53,262,211,1.0,EXPLORE
3,14:13:54,262,216,1.0,EXPLORE
3,14:13:55,262,211,1.0,EXPLORE
3,14:13:55,262,213,1.0,EXPLORE
3,14:13:55,262,218,1.0,EXPLORE
3,14:13:56,262,220,1.0,EXPLORE
3,14:13:56,262,225,1.0,EXPLORE
3,14:13:57,262,227,1.0,EXPLORE
3,14:13:57,420,327,1.0,BATTLE
4,14:13:58,420,322,1.0,EXPLORE
4,14:13:58,420,327,1.0,EXPLORE
4,14:13:59,420,329,1.0,EXPLORE
4,14:13:59,420,331,1.0,EXPLORE
4,14:13:59,420,333,1.0,EXPLORE
4,14:14:00,420,338,1.0,EXPLORE
4,14:14:00,420,340,1.0,EXPLORE
4,14:14:00,420,342,1.0,EXPLORE
4,14:14:01,420,347,1.0,EXPLORE
4,14:14:01,420,349,1.0,EXPLORE
4,14:14:02,612,449,1.0,BATTLE
5,14:14:03,612,451,1.0,EXPLORE
5,14:14:03,612,453,1.0,EXPLORE
5,14:14:04,612,455,1.0,EXPLORE
5,14:14:04,612,457,1.0,EXPLORE
5,14:14:04,612,462,1.0,EXPLORE
5,14:14:04,666,562,1.0,BATTLE
6,14:14:06,666,564,1.0,EXPLORE
6,14:14:06,666,569,1.0,EXPLORE
6,14:14:06,666,574,1.0,EXPLORE
6,14:14:07,666,576,1.0,EXPLORE
6,14:14:07,666,578,1.0,EXPLORE
6,14:14:07,666,580,1.0,EXPLORE
6,14:14:07,666,585,1.0,EXPLORE
6,14:14:08,666,587,1.0,EXPLORE
6,14:14:08,666,582,1.0,EXPLORE
6,14:14:08,666,584,1.0,EXPLORE
6,14:14:09,738,684,1.0,BATTLE
7,14:14:10,738,686,1.0,EXPLORE
7,14:14:10,738,688,1.0,EXPLORE
7,14:14:11,738,690,1.0,EXPLORE
7,14:14:11,738,692,1.0,EXPLORE
7,14:14:11,738,697,1.0,EXPLORE
7,14:14:11,738,699,1.0,EXPLORE
7,14:14:12,738,701,1.0,EXPLORE
7,14:14:12,738,706,1.0,EXPLORE
7,14:14:12,738,701,1.0,EXPLORE
7,14:14:13,738,696,1.0,EXPLORE
7,14:14:13,738,691,1.0,EXPLORE
7,14:14:14,738,696,1.0,BATTLE
8,14:14:15,738,691,1.0,EXPLORE
8,14:14:15,738,693,1.0,EXPLORE
8,14:14:15,738,695,1.0,EXPLORE
8,14:14:16,802,795,1.0,BATTLE
9,14:14:17,802,790,1.0,EXPLORE
9,14:14:17,802,792,1.0,EXPLORE
9,14:14:17,802,794,1.0,EXPLORE
9,14:14:18,802,796,1.0,EXPLORE
9,14:14:18,802,798,1.0,EXPLORE
9,14:14:19,802,800,1.0,EXPLORE
9,14:14:19,989,900,1.0,BATTLE
10,14:14:20,989,902,1.0,EXPLORE
10,14:14:20,989,907,1.0,EXPLORE
10,14:14:21,989,909,1.0,EXPLORE
10,14:14:21,989,911,1.0,EXPLORE
10,14:14:21,989,913,1.0,EXPLORE
10,14:14:22,989,918,1.0,EXPLORE
10,14:14:22,989,920,1.0,EXPLORE
10,14:14:22,989,922,1.0,EXPLORE
10,14:14:23,989,917,1.0,EXPLORE
10,14:14:23,989,919,1.0,EXPLORE
10,14:14:23,989,921,1.0,EXPLORE
10,14:14:24,989,923,1.0,EXPLORE
10,14:14:24,989,928,1.0,EXPLORE
10,14:14:25,989,923,1.0,EXPLORE
10,14:14:25,989,925,1.0,EXPLORE
10,14:14:26,989,927,1.0,EXPLORE
10,14:14:26,989,929,1.0,EXPLORE
10,14:14:26,989,934,1.0,EXPLORE
10,14:14:27,989,939,1.0,EXPLORE
10,14:14:27,989,934,1.0,EXPLORE
10,14:14:27,989,939,1.0,BATTLE
11,14:14:28,989,944,1.0,EXPLORE
11,14:14:29,989,949,1.0,EXPLORE
11,14:14:29,989,951,1.0,EXPLORE
11,14:14:29,989,946,1.0,EXPLORE
11,14:14:30,1091,1046,1.0,BATTLE
12,14:14:31,1091,1041,1.0,EXPLORE
12,14:14:31,1091,1036,1.0,EXPLORE
12,14:14:31,1091,1041,1.0,BATTLE
13,14:14:33,1091,1046,1.0,BATTLE
14,14:14:34,1291,1146,1.0,BATTLE
15,14:14:35,1291,1141,1.0,EXPLORE
15,14:14:35,1397,1241,1.0,BATTLE
16,14:14:37,1397,1243,1.0,EXPLORE
16,14:14:37,1500,1343,1.0,BATTLE
17,14:14:38,1500,1348,1.0,EXPLORE
17,14:14:39,1500,1350,1.0,EXPLORE
17,14:14:39,1616,1450,1.0,BATTLE
18,14:14:40,1616,1445,1.0,EXPLORE
18,14:14:40,1791,1545,1.0,BATTLE
19,14:14:42,1791,1547,1.0,EXPLORE
19,14:14:42,1891,1647,1.0,BATTLE
20,14:14:43,1891,1649,1.0,EXPLORE
20,14:14:43,1891,1651,1.0,EXPLORE
20,14:14:44,1891,1653,1.0,EXPLORE
1,14:15:32,0,2,0.030849195693473157,EXPLORE
1,14:15:33,168,102,1.0,BATTLE
2,14:15:34,168,104,1.0,EXPLORE
2,14:15:35,168,109,1.0,EXPLORE
2,14:15:35,168,111,1.0,EXPLORE
2,14:15:36,168,113,1.0,EXPLORE
2,14:15:36,168,108,1.0,EXPLORE
2,14:15:37,168,113,1.0,EXPLORE
2,14:15:37,168,115,1.0,EXPLORE
2,14:15:38,168,117,0.9838513817615333,EXPLORE
2,14:15:38,168,119,0.9620002795863764,EXPLORE
2,14:15:39,168,121,0.9416180528409237,EXPLORE
2,14:15:39,168,123,0.9229690814296381,EXPLORE
2,14:15:40,168,128,0.9272977196135372,EXPLORE
2,14:15:40,168,118,0.8261887450350505,BATTLE
3,14:15:42,168,120,0.756768530069092,EXPLORE
3,14:15:42,168,122,0.7468598816928497,EXPLORE
3,14:15:43,168,117,0.6959492116343857,EXPLORE
3,14:15:43,168,119,0.6883733310670845,EXPLORE
3,14:15:44,168,121,0.680936078701926,EXPLORE
3,14:15:44,168,116,0.6356598697442716,EXPLORE
3,14:15:45,168,118,0.6302226933098287,EXPLORE
3,14:15:45,168,120,0.6250201777549849,EXPLORE
3,14:15:45,168,122,0.6199958436337807,EXPLORE
3,14:15:46,168,127,0.6302286553879297,EXPLORE
3,14:15:46,168,129,0.6251927895095912,EXPLORE
3,14:15:47,168,131,0.6205240226504091,EXPLORE
3,14:15:47,168,133,0.6160675081764924,EXPLORE
3,14:15:48,225,233,1.0,BATTLE
4,14:15:49,225,235,0.9939353254047395,EXPLORE
4,14:15:50,347,335,1.0,BATTLE
5,14:15:52,347,337,1.0,EXPLORE
5,14:15:52,347,339,1.0,EXPLORE
5,14:15:52,526,439,1.0,BATTLE
6,14:15:54,526,434,1.0,EXPLORE
6,14:15:55,526,436,1.0,EXPLORE
6,14:15:55,526,441,1.0,EXPLORE
6,14:15:56,526,446,1.0,EXPLORE
6,14:15:56,526,448,1.0,EXPLORE
6,14:15:56,526,453,1.0,EXPLORE
6,14:15:57,526,455,1.0,EXPLORE
6,14:15:57,526,450,1.0,EXPLORE
6,14:15:58,651,550,1.0,BATTLE
7,14:15:59,651,555,1.0,BATTLE
8,14:16:01,794,655,1.0,BATTLE
9,14:16:03,794,660,1.0,EXPLORE
9,14:16:03,794,655,1.0,EXPLORE
9,14:16:04,794,657,1.0,EXPLORE
9,14:16:04,794,659,1.0,EXPLORE
9,14:16:05,794,664,1.0,EXPLORE
9,14:16:05,794,666,1.0,EXPLORE
9,14:16:05,794,671,1.0,EXPLORE
9,14:16:06,794,673,1.0,EXPLORE
9,14:16:06,886,773,1.0,BATTLE
10,14:16:08,886,768,1.0,EXPLORE
10,14:16:09,886,770,1.0,EXPLORE
10,14:16:09,886,775,1.0,EXPLORE
10,14:16:09,1010,875,1.0,BATTLE
11,14:16:11,1010,877,1.0,EXPLORE
11,14:16:12,1010,872,1.0,EXPLORE
11,14:16:12,1129,972,1.0,BATTLE
12,14:16:14,1129,974,1.0,EXPLORE
12,14:16:14,1129,976,1.0,EXPLORE
12,14:16:15,1129,971,1.0,EXPLORE
12,14:16:15,1129,973,1.0,EXPLORE
12,14:16:16,1129,968,1.0,EXPLORE
12,14:16:16,1129,970,1.0,EXPLORE
12,14:16:16,1129,960,1.0,BATTLE
13,14:16:18,1129,962,1.0,EXPLORE
13,14:16:19,1129,952,1.0,BATTLE
14,14:16:20,1129,954,1.0,EXPLORE
14,14:16:21,1277,1054,1.0,BATTLE
15,14:16:22,1277,1056,1.0,EXPLORE
15,14:16:23,1277,1058,1.0,EXPLORE
15,14:16:23,1378,1158,1.0,BATTLE
16,14:16:25,1378,1163,1.0,EXPLORE
16,14:16:25,1378,1158,1.0,EXPLORE
16,14:16:26,1378,1160,1.0,EXPLORE
16,14:16:26,1378,1165,1.0,EXPLORE
16,14:16:27,1378,1167,1.0,EXPLORE
16,14:16:27,1378,1169,1.0,EXPLORE
16,14:16:28,1378,1164,1.0,EXPLORE
16,14:16:28,1378,1166,1.0,EXPLORE
16,14:16:29,1378,1168,1.0,EXPLORE
16,14:16:29,1378,1170,1.0,EXPLORE
16,14:16:29,1378,1172,1.0,EXPLORE
16,14:16:30,1378,1167,1.0,EXPLORE
16,14:16:30,1378,1169,1.0,EXPLORE
16,14:16:31,1378,1174,1.0,EXPLORE
16,14:16:31,1378,1176,1.0,EXPLORE
16,14:16:32,1378,1178,1.0,EXPLORE
16,14:16:32,1378,1173,1.0,EXPLORE
16,14:16:33,1378,1175,1.0,EXPLORE
16,14:16:33,1378,1177,1.0,EXPLORE
16,14:16:34,1378,1167,1.0,BATTLE
17,14:16:35,1378,1162,1.0,EXPLORE
17,14:16:36,1378,1164,1.0,EXPLORE
17,14:16:36,1461,1264,1.0,BATTLE
18,14:16:38,1461,1259,1.0,EXPLORE
18,14:16:38,1461,1261,1.0,EXPLORE
18,14:16:39,1461,1263,1.0,EXPLORE
18,14:16:39,1461,1258,1.0,EXPLORE
18,14:16:40,1461,1260,1.0,EXPLORE
18,14:16:40,1461,1262,1.0,EXPLORE
18,14:16:41,1461,1267,1.0,EXPLORE
18,14:16:41,1461,1262,1.0,EXPLORE
18,14:16:42,1461,1264,1.0,EXPLORE
18,14:16:42,1461,1266,1.0,EXPLORE
18,14:16:43,1461,1261,1.0,EXPLORE
18,14:16:43,1461,1263,1.0,EXPLORE
18,14:16:44,1461,1265,1.0,EXPLORE
18,14:16:44,1461,1270,1.0,EXPLORE
18,14:16:45,1461,1272,1.0,EXPLORE
18,14:16:45,1626,1372,1.0,BATTLE
19,14:16:47,1626,1374,1.0,EXPLORE
19,14:16:47,1626,1376,1.0,EXPLORE
19,14:16:48,1626,1378,1.0,EXPLORE
19,14:16:48,1626,1383,1.0,EXPLORE
19,14:16:49,1626,1385,1.0,EXPLORE
19,14:16:49,1626,1387,1.0,EXPLORE
19,14:16:50,1626,1389,1.0,EXPLORE
19,14:16:50,1626,1384,1.0,EXPLORE
19,14:16:51,1626,1379,1.0,EXPLORE
19,14:16:51,1626,1384,1.0,EXPLORE
19,14:16:51,1626,1386,1.0,EXPLORE
19,14:16:52,1626,1388,1.0,EXPLORE
19,14:16:52,1626,1393,1.0,EXPLORE
19,14:16:53,1626,1395,1.0,EXPLORE
19,14:16:53,1626,1390,1.0,EXPLORE
19,14:16:54,1626,1380,1.0,BATTLE
20,14:16:55,1626,1375,1.0,EXPLORE
20,14:16:56,1626,1377,1.0,EXPLORE
20,14:16:56,1626,1379,1.0,EXPLORE
20,14:16:57,1626,1384,1.0,EXPLORE
20,14:16:57,1626,1374,1.0,BATTLE
21,14:16:59,1626,1379,1.0,EXPLORE
21,14:16:59,1626,1369,1.0,BATTLE
22,14:17:01,1626,1371,1.0,EXPLORE
22,14:17:01,1626,1373,1.0,EXPLORE
22,14:17:02,1626,1368,1.0,EXPLORE
22,14:17:02,1626,1370,1.0,EXPLORE
22,14:17:03,1626,1375,1.0,EXPLORE
22,14:17:03,1626,1377,1.0,EXPLORE
22,14:17:04,1626,1372,1.0,EXPLORE
22,14:17:04,1626,1374,1.0,EXPLORE
22,14:17:05,1626,1376,1.0,EXPLORE
22,14:17:05,1626,1381,1.0,EXPLORE
22,14:17:06,1626,1383,1.0,EXPLORE
22,14:17:06,1626,1385,1.0,EXPLORE
22,14:17:07,1626,1387,1.0,EXPLORE
22,14:17:07,1626,1389,1.0,EXPLORE
22,14:17:08,1718,1489,1.0,BATTLE
23,14:17:09,1718,1491,1.0,EXPLORE
23,14:17:10,1718,1486,1.0,EXPLORE
23,14:17:10,1718,1488,1.0,EXPLORE
23,14:17:11,1718,1490,1.0,EXPLORE
23,14:17:11,1718,1485,1.0,EXPLORE
23,14:17:12,1718,1487,1.0,EXPLORE
23,14:17:12,1718,1489,1.0,EXPLORE
23,14:17:13,1718,1494,1.0,EXPLORE
23,14:17:13,1718,1489,1.0,EXPLORE
23,14:17:14,1718,1491,1.0,EXPLORE
23,14:17:14,1718,1493,1.0,EXPLORE
23,14:17:15,1789,1593,1.0,BATTLE
24,14:17:16,1789,1598,1.0,BATTLE
25,14:17:18,1789,1600,1.0,EXPLORE
25,14:17:18,1789,1602,1.0,EXPLORE
25,14:17:19,1973,1702,1.0,BATTLE
26,14:17:20,1973,1704,1.0,EXPLORE
26,14:17:21,1973,1706,1.0,EXPLORE
26,14:17:21,2054,1806,1.0,BATTLE
27,14:17:23,2054,1808,1.0,EXPLORE
27,14:17:23,2054,1810,1.0,EXPLORE
27,14:17:24,2054,1800,1.0,BATTLE
28,14:17:25,2054,1805,1.0,BATTLE
29,14:17:27,2205,1905,1.0,BATTLE
30,14:17:28,2205,1900,1.0,EXPLORE
30,14:17:29,2205,1902,1.0,EXPLORE
30,14:17:29,2205,1897,1.0,EXPLORE
30,14:17:30,2205,1899,1.0,EXPLORE
30,14:17:30,2345,1999,1.0,BATTLE
31,14:17:32,2345,2001,1.0,EXPLORE
31,14:17:32,2345,2003,1.0,EXPLORE
31,14:17:33,2345,2005,1.0,EXPLORE
31,14:17:33,2345,2000,1.0,EXPLORE
31,14:17:34,2526,2100,1.0,BATTLE
32,14:17:35,2526,2102,1.0,EXPLORE
32,14:17:36,2526,2104,1.0,EXPLORE
32,14:17:36,2526,2106,1.0,EXPLORE
32,14:17:37,2526,2111,1.0,EXPLORE
32,14:17:37,2526,2106,1.0,EXPLORE
32,14:17:38,2526,2101,1.0,EXPLORE
32,14:17:38,2526,2106,1.0,EXPLORE
32,14:17:39,2526,2111,1.0,BATTLE
33,14:17:40,2526,2113,1.0,EXPLORE
33,14:17:41,2526,2115,1.0,EXPLORE
33,14:17:41,2526,2117,1.0,EXPLORE
33,14:17:42,2526,2119,1.0,EXPLORE
33,14:17:42,2526,2121,1.0,EXPLORE
33,14:17:43,2526,2123,1.0,EXPLORE
33,14:17:43,2526,2118,1.0,EXPLORE
33,14:17:44,2526,2120,1.0,EXPLORE
33,14:17:44,2526,2115,1.0,EXPLORE
33,14:17:45,2606,2215,1.0,BATTLE
34,14:17:46,2606,2220,1.0,EXPLORE
34,14:17:47,2606,2222,1.0,EXPLORE
34,14:17:47,2606,2224,1.0,EXPLORE
34,14:17:48,2606,2226,1.0,EXPLORE
34,14:17:48,2606,2231,1.0,EXPLORE
34,14:17:49,2606,2236,1.0,EXPLORE
34,14:17:49,2606,2238,1.0,EXPLORE
34,14:17:50,2606,2240,1.0,EXPLORE
34,14:17:50,2606,2242,1.0,EXPLORE
34,14:17:51,2606,2244,1.0,EXPLORE
34,14:17:51,2606,2246,1.0,EXPLORE
34,14:17:52,2724,2346,1.0,BATTLE
35,14:17:53,2895,2446,1.0,BATTLE
36,14:17:55,3051,2546,1.0,BATTLE
37,14:17:56,3051,2548,1.0,EXPLORE
37,14:17:57,3051,2550,1.0,EXPLORE
37,14:17:57,3051,2552,1.0,EXPLORE
37,14:17:58,3051,2547,1.0,EXPLORE
37,14:17:58,3051,2549,1.0,EXPLORE
37,14:17:59,3191,2649,1.0,BATTLE
38,14:18:00,3191,2644,1.0,EXPLORE
38,14:18:01,3191,2639,1.0,EXPLORE
38,14:18:01,3191,2641,1.0,EXPLORE
38,14:18:02,3191,2636,1.0,EXPLORE
38,14:18:02,3191,2641,1.0,EXPLORE
38,14:18:03,3191,2646,1.0,EXPLORE
38,14:18:03,3191,2651,1.0,EXPLORE
38,14:18:04,3191,2656,1.0,EXPLORE
38,14:18:04,3191,2658,1.0,EXPLORE
38,14:18:05,3191,2660,1.0,EXPLORE
38,14:18:05,3191,2650,1.0,BATTLE
39,14:18:07,3191,2652,1.0,EXPLORE
39,14:18:07,3191,2654,1.0,EXPLORE
39,14:18:08,3191,2649,1.0,EXPLORE
39,14:18:08,3191,2644,1.0,EXPLORE
39,14:18:09,3191,2646,1.0,EXPLORE
39,14:18:09,3191,2641,1.0,EXPLORE
39,14:18:10,3191,2643,1.0,EXPLORE
39,14:18:10,3191,2645,1.0,EXPLORE
39,14:18:11,3191,2647,1.0,EXPLORE
39,14:18:11,3191,2649,1.0,EXPLORE
39,14:18:11,3191,2651,1.0,EXPLORE
39,14:18:12,3332,2751,1.0,BATTLE
40,14:18:14,3332,2746,1.0,EXPLORE
40,14:18:14,3332,2748,1.0,EXPLORE
40,14:18:14,3332,2750,1.0,EXPLORE
40,14:18:15,3332,2745,1.0,EXPLORE
40,14:18:15,3332,2747,1.0,EXPLORE
40,14:18:16,3332,2749,1.0,EXPLORE
40,14:18:16,3332,2744,1.0,EXPLORE
40,14:18:17,3332,2746,1.0,EXPLORE
40,14:18:17,3332,2751,1.0,EXPLORE
40,14:18:18,3332,2746,1.0,EXPLORE
40,14:18:18,3332,2748,1.0,EXPLORE
40,14:18:19,3470,2848,1.0,BATTLE
41,14:18:20,3470,2853,1.0,EXPLORE
41,14:18:21,3470,2855,1.0,EXPLORE
41,14:18:21,3470,2857,1.0,EXPLORE
41,14:18:22,3646,2957,1.0,BATTLE
42,14:18:23,3646,2962,1.0,EXPLORE
42,14:18:24,3646,2964,1.0,EXPLORE
42,14:18:24,3646,2959,1.0,EXPLORE
42,14:18:25,3646,2954,1.0,EXPLORE
42,14:18:25,3646,2956,1.0,EXPLORE
42,14:18:26,3646,2961,1.0,EXPLORE
42,14:18:26,3646,2963,1.0,EXPLORE
42,14:18:27,3646,2953,1.0,BATTLE
43,14:18:28,3646,2955,1.0,EXPLORE
43,14:18:29,3646,2957,1.0,EXPLORE
43,14:18:29,3789,3057,1.0,BATTLE
44,14:18:31,3789,3059,1.0,EXPLORE
44,14:18:31,3789,3061,1.0,EXPLORE
44,14:18:32,3789,3063,1.0,EXPLORE
44,14:18:32,3923,3163,1.0,BATTLE
45,14:18:34,3923,3165,1.0,EXPLORE
45,14:18:34,3923,3167,1.0,EXPLORE
45,14:18:35,3923,3169,1.0,EXPLORE
45,14:18:35,3923,3171,1.0,EXPLORE
45,14:18:36,3923,3166,1.0,EXPLORE
45,14:18:36,3923,3156,1.0,BATTLE
46,14:18:38,3923,3158,1.0,EXPLORE
46,14:18:38,3923,3148,1.0,BATTLE
47,14:18:40,3923,3150,1.0,EXPLORE
47,14:18:40,3923,3152,1.0,EXPLORE
47,14:18:41,4101,3252,1.0,BATTLE
48,14:18:42,4101,3254,1.0,EXPLORE
48,14:18:43,4101,3259,1.0,EXPLORE
48,14:18:43,4101,3264,1.0,EXPLORE
48,14:18:44,4101,3269,1.0,EXPLORE
48,14:18:44,4101,3274,1.0,EXPLORE
48,14:18:45,4101,3276,1.0,EXPLORE
48,14:18:45,4196,3376,1.0,BATTLE
49,14:18:47,4299,3476,1.0,BATTLE
50,14:18:48,4299,3471,1.0,EXPLORE
50,14:18:49,4299,3476,1.0,EXPLORE
50,14:18:49,4299,3466,1.0,BATTLE
51,14:18:51,4354,3566,1.0,BATTLE
52,14:18:53,4354,3561,1.0,EXPLORE
52,14:18:53,4354,3566,1.0,EXPLORE
52,14:18:54,4354,3568,1.0,EXPLORE
52,14:18:54,4354,3570,1.0,EXPLORE
52,14:18:55,4354,3572,1.0,EXPLORE
52,14:18:55,4354,3577,1.0,EXPLORE
52,14:18:55,4354,3579,1.0,EXPLORE
52,14:18:56,4354,3581,1.0,EXPLORE
52,14:18:56,4354,3583,1.0,EXPLORE
52,14:18:57,4354,3578,1.0,EXPLORE
52,14:18:57,4354,3580,1.0,EXPLORE
52,14:18:58,4354,3582,1.0,EXPLORE
52,14:18:58,4496,3682,1.0,BATTLE
53,14:19:00,4651,3782,1.0,BATTLE
54,14:19:01,4651,3784,1.0,EXPLORE
54,14:19:02,4704,3884,1.0,BATTLE
55,14:19:04,4704,3879,1.0,EXPLORE
55,14:19:04,4704,3874,1.0,EXPLORE
55,14:19:05,4704,3876,1.0,EXPLORE
55,14:19:05,4704,3878,1.0,EXPLORE
55,14:19:05,4704,3880,1.0,EXPLORE
55,14:19:06,4704,3882,1.0,EXPLORE
55,14:19:06,4849,3982,1.0,BATTLE
56,14:19:08,4849,3984,1.0,EXPLORE
56,14:19:08,4849,3986,1.0,EXPLORE
56,14:19:09,4849,3988,1.0,EXPLORE
56,14:19:09,4849,3990,1.0,EXPLORE
56,14:19:10,4849,3992,1.0,EXPLORE
56,14:19:10,4849,3994,1.0,EXPLORE
56,14:19:11,4849,3996,1.0,EXPLORE
56,14:19:11,4849,4001,1.0,BATTLE
57,14:19:13,4849,3996,1.0,EXPLORE
57,14:19:13,4849,3998,1.0,EXPLORE
57,14:19:14,4849,3993,1.0,EXPLORE
57,14:19:14,4849,3995,1.0,EXPLORE
57,14:19:15,4849,3997,1.0,EXPLORE
57,14:19:15,4849,4002,1.0,EXPLORE
57,14:19:16,4849,4004,1.0,EXPLORE
57,14:19:16,4849,4006,1.0,EXPLORE
57,14:19:17,4849,3996,1.0,BATTLE
58,14:19:18,4849,3998,1.0,EXPLORE
58,14:19:19,4849,4003,1.0,EXPLORE
58,14:19:19,4849,4005,1.0,EXPLORE
58,14:19:20,4849,4007,1.0,EXPLORE
58,14:19:20,4849,4012,1.0,EXPLORE
58,14:19:21,4849,4017,1.0,EXPLORE
58,14:19:21,4849,4019,1.0,EXPLORE
58,14:19:22,4849,4014,1.0,EXPLORE
58,14:19:22,4849,4016,1.0,EXPLORE
58,14:19:23,4849,4018,1.0,EXPLORE
58,14:19:23,4849,4020,1.0,EXPLORE
58,14:19:24,4849,4015,1.0,EXPLORE
58,14:19:24,4849,4020,1.0,EXPLORE
58,14:19:25,4849,4015,1.0,EXPLORE
58,14:19:25,4849,4017,1.0,EXPLORE
58,14:19:26,4849,4022,1.0,EXPLORE
58,14:19:26,4849,4024,1.0,EXPLORE
58,14:19:26,4849,4026,1.0,EXPLORE
58,14:19:27,4849,4031,1.0,EXPLORE
58,14:19:27,4849,4033,1.0,EXPLORE
58,14:19:28,4849,4035,1.0,EXPLORE
58,14:19:28,4949,4135,1.0,BATTLE
59,14:19:30,4949,4137,1.0,EXPLORE
59,14:19:30,4949,4139,1.0,EXPLORE
59,14:19:31,4949,4134,1.0,EXPLORE
59,14:19:31,4949,4139,1.0,EXPLORE
59,14:19:32,4949,4141,1.0,EXPLORE
59,14:19:32,4949,4146,1.0,EXPLORE
59,14:19:33,4949,4148,1.0,EXPLORE
59,14:19:33,4949,4150,1.0,EXPLORE
59,14:19:34,4949,4152,1.0,EXPLORE
59,14:19:34,4949,4147,1.0,EXPLORE
59,14:19:35,4949,4149,1.0,EXPLORE
59,14:19:35,5062,4249,1.0,BATTLE
60,14:19:37,5062,4251,1.0,EXPLORE
60,14:19:37,5062,4253,1.0,EXPLORE
60,14:19:38,5062,4255,1.0,EXPLORE
60,14:19:38,5062,4257,1.0,EXPLORE
60,14:19:39,5062,4259,1.0,EXPLORE
60,14:19:39,5062,4254,1.0,EXPLORE
60,14:19:40,5062,4244,1.0,BATTLE
61,14:19:41,5062,4246,1.0,EXPLORE
61,14:19:42,5062,4241,1.0,EXPLORE
61,14:19:42,5062,4243,1.0,EXPLORE
61,14:19:43,5062,4245,1.0,EXPLORE
61,14:19:43,5062,4247,1.0,EXPLORE
